country,year,INDrec,INDred,INDimp_likert,INDimp_percent,INDimp_percent_strict
Czechia,2017,0.67,0.17,3.43,0.94,0.5
Czechia,2019,0.69,0.19,3.41,0.9299999999999999,0.48
Czechia,2024,0.76,0.44,,,
Denmark,2004,0.7,0.23,3.2700000000000005,0.86,0.45
Denmark,2008,0.43,0.2,3.68,0.97,0.71
Denmark,2011,0.5,0.34,3.56,0.96,0.6
Denmark,2014,0.47,0.15,3.44,0.96,0.48
Denmark,2017,0.69,0.19,3.6300000000000003,0.98,0.67
Denmark,2019,0.78,0.31,3.5100000000000002,0.9600000000000001,0.56
Denmark,2024,0.83,0.66,,,
Estonia,2004,0.71,0.29,2.82,0.69,0.19
Estonia,2008,0.59,0.2,3.56,0.96,0.62
Estonia,2011,0.61,0.28,3.4600000000000004,0.9400000000000001,0.54
Estonia,2014,0.51,0.25,3.4,0.96,0.45
Estonia,2017,0.51,0.25,3.45,0.9400000000000001,0.54
Estonia,2019,0.59,0.36,3.25,0.92,0.36
Estonia,2024,0.69,0.53,,,
Finland,2004,0.76,0.37,3.0,0.77,0.25
Finland,2008,0.56,0.27,3.44,0.97,0.47
Finland,2011,0.59,0.37,3.36,0.9299999999999999,0.44
Finland,2014,0.5,0.24,3.3200000000000003,0.9400000000000001,0.38
Finland,2017,0.77,0.28,3.4099999999999997,0.95,0.49
Finland,2019,0.8,0.34,3.4,0.95,0.45
Finland,2024,0.89,0.69,,,
France,2004,0.79,0.29,2.9999999999999996,0.76,0.31
France,2008,0.69,0.32,3.7800000000000002,0.99,0.79
France,2011,0.68,0.31,3.5799999999999996,0.97,0.62
France,2014,0.56,0.17,3.46,0.95,0.53
France,2017,0.81,0.3,3.5999999999999996,0.97,0.64
France,2019,0.76,0.33,3.5799999999999996,0.96,0.63
France,2024,0.75,0.48,,,
Germany,2004,0.75,0.4,2.7299999999999995,0.6,0.18
Germany,2008,0.46,0.36,3.5000000000000004,0.9600000000000001,0.56
Germany,2011,0.5,0.4,3.45,0.95,0.51
Germany,2014,0.48,0.34,3.42,0.94,0.49
Germany,2017,0.7,0.37,3.45,0.9400000000000001,0.54
Germany,2019,0.61,0.5,3.39,0.94,0.46
Germany,2024,0.68,0.64,,,
Greece,2004,0.68,0.31,3.4999999999999996,0.94,0.57
Greece,2008,0.49,0.22,3.87,0.99,0.88
Greece,2011,0.54,0.26,3.6799999999999997,0.98,0.7
Greece,2014,0.57,0.19,3.6599999999999997,0.97,0.7
Greece,2017,0.57,0.15,3.67,0.98,0.69
Greece,2019,0.65,0.19,3.67,0.97,0.7
Greece,2024,0.76,0.56,,,
Hungary,2004,0.76,0.4,3.1500000000000004,0.8200000000000001,0.39
Hungary,2008,0.6,0.29,3.69,0.98,0.71
Hungary,2011,0.6,0.36,3.6,0.96,0.64
Hungary,2014,0.57,0.21,3.5199999999999996,0.95,0.58
Hungary,2017,0.54,0.24,3.42,0.94,0.49
Hungary,2019,0.53,0.23,3.42,0.95,0.47
Hungary,2024,0.53,0.46,,,
Ireland,2004,0.8,0.34,2.92,0.7,0.32
Ireland,2008,0.62,0.24,3.3800000000000003,0.91,0.55
Ireland,2011,0.69,0.35,3.52,0.94,0.6
Ireland,2014,0.63,0.23,3.49,0.9400000000000001,0.56
Ireland,2017,0.65,0.31,3.5199999999999996,0.96,0.59
Ireland,2019,0.61,0.31,3.42,0.9299999999999999,0.5
Ireland,2024,0.67,0.48,,,
Italy,2004,0.61,0.29,2.93,0.79,0.25
Italy,2008,0.48,0.26,3.59,0.96,0.64
Italy,2011,0.56,0.27,3.53,0.94,0.61
Italy,2014,0.58,0.27,3.4899999999999998,0.95,0.57
Italy,2017,0.57,0.18,3.41,0.95,0.5
Italy,2019,0.6,0.2,3.36,0.94,0.43
Italy,2024,0.61,0.38,,,
Latvia,2004,0.54,0.19,2.79,0.64,0.23
Latvia,2008,0.58,0.25,3.56,0.96,0.62
Latvia,2011,0.54,0.27,3.4699999999999998,0.95,0.53
Latvia,2014,0.52,0.2,3.3899999999999997,0.9299999999999999,0.47
Latvia,2017,0.45,0.18,3.42,0.9199999999999999,0.51
Latvia,2019,0.49,0.26,3.25,0.9,0.36
Latvia,2024,0.69,0.44,,,
Lithuania,2004,0.67,0.32,3.0700000000000003,0.8400000000000001,0.31
Lithuania,2008,0.55,0.2,3.49,0.9500000000000001,0.55
Lithuania,2011,0.55,0.25,3.51,0.94,0.59
Lithuania,2014,0.63,0.2,3.37,0.9299999999999999,0.45
Lithuania,2017,0.67,0.2,3.35,0.94,0.42
Lithuania,2019,0.76,0.24,3.31,0.92,0.4
Lithuania,2024,0.72,0.34,,,
Luxembourg,2004,0.82,0.29,3.1399999999999997,0.8,0.44
Luxembourg,2008,0.65,0.32,3.6399999999999997,0.97,0.68
Luxembourg,2011,0.58,0.34,3.6599999999999997,0.96,0.72
Luxembourg,2014,0.59,0.2,3.63,0.97,0.67
Luxembourg,2017,0.79,0.37,3.66,0.98,0.68
Luxembourg,2019,0.76,0.48,3.57,0.96,0.62
Luxembourg,2024,0.8,0.59,,,
Malta,2004,0.71,0.35,3.28,0.86,0.44
Malta,2008,0.56,0.19,3.8299999999999996,0.99,0.84
Malta,2011,0.66,0.19,3.86,1.0,0.86
Malta,2014,0.63,0.1,3.7900000000000005,0.99,0.8
Malta,2017,0.72,0.24,3.68,0.97,0.75
Malta,2019,0.75,0.27,3.6599999999999997,0.98,0.7
Malta,2024,0.94,0.33,,,
Netherlands,2004,0.71,0.24,2.65,0.59,0.15
Netherlands,2008,0.51,0.34,3.4600000000000004,0.95,0.51
Netherlands,2011,0.55,0.34,3.42,0.9299999999999999,0.5
Netherlands,2014,0.55,0.18,3.34,0.97,0.37
Netherlands,2017,0.82,0.21,3.5399999999999996,0.96,0.59
Netherlands,2019,0.84,0.32,3.46,0.96,0.5
Netherlands,2024,0.76,0.61,,,
Poland,2004,0.74,0.37,2.8,0.7,0.19
Poland,2008,0.6,0.39,3.52,0.96,0.58
Poland,2011,0.63,0.38,3.34,0.9199999999999999,0.47
Poland,2014,0.61,0.25,3.2899999999999996,0.9099999999999999,0.41
Poland,2017,0.55,0.12,3.28,0.91,0.4
Poland,2019,0.56,0.15,3.2600000000000002,0.88,0.42
Poland,2024,0.49,0.31,,,
Portugal,2004,0.78,0.29,3.11,0.8200000000000001,0.37
Portugal,2008,0.6,0.32,3.64,0.97,0.67
Portugal,2011,0.66,0.28,3.4600000000000004,0.95,0.51
Portugal,2014,0.69,0.19,3.5100000000000002,0.97,0.54
Portugal,2017,0.63,0.11,3.48,0.99,0.49
Portugal,2019,0.77,0.16,3.48,0.99,0.49
Portugal,2024,0.64,0.29,,,
Romania,2008,0.44,0.22,3.34,0.8999999999999999,0.49
Romania,2011,0.49,0.4,3.43,0.92,0.56
Romania,2014,0.48,0.22,3.39,0.91,0.51
Romania,2017,0.29,0.19,3.31,0.87,0.47
Romania,2019,0.26,0.17,3.3000000000000003,0.87,0.46
Romania,2024,0.5,0.43,,,
Slovakia,2004,0.84,0.35,2.9,0.74,0.24
Slovakia,2008,0.75,0.23,3.58,0.97,0.61
Slovakia,2011,0.74,0.35,3.5,0.95,0.57
Slovakia,2014,0.7,0.17,3.53,0.94,0.61
Slovakia,2017,0.6,0.22,3.36,0.9,0.53
Slovakia,2019,0.7,0.23,3.38,0.94,0.47
Slovakia,2024,0.61,0.45,,,
Slovenia,2004,0.87,0.28,3.13,0.81,0.36
Slovenia,2008,0.69,0.26,3.8000000000000003,0.99,0.81
Slovenia,2011,0.66,0.35,3.77,0.98,0.8
Slovenia,2014,0.66,0.16,3.6999999999999997,0.99,0.71
Slovenia,2017,0.81,0.29,3.6199999999999997,0.96,0.67
Slovenia,2019,0.82,0.36,3.6,0.95,0.65
Slovenia,2024,0.72,0.55,,,
Spain,2004,0.65,0.27,2.8499999999999996,0.73,0.27
Spain,2008,0.48,0.24,3.55,0.96,0.63
Spain,2011,0.59,0.22,3.47,0.9400000000000001,0.56
Spain,2014,0.54,0.21,3.5200000000000005,0.9600000000000001,0.56
Spain,2017,0.61,0.15,3.54,0.97,0.57
Spain,2019,0.75,0.27,3.59,0.97,0.62
Spain,2024,0.64,0.47,,,
Sweden,2004,0.7,0.26,3.06,0.76,0.32
Sweden,2008,0.47,0.14,3.8800000000000003,0.99,0.89
Sweden,2011,0.57,0.24,3.7999999999999994,0.98,0.83
Sweden,2014,0.5,0.12,3.79,1.0,0.79
Sweden,2017,0.87,0.34,3.86,0.99,0.87
Sweden,2019,0.88,0.36,3.8000000000000003,0.99,0.81
Sweden,2024,0.93,0.81,,,
